ai_name,num_ai,method,iter,accuracy,recall_section_230,recall_trump_ban,recall_twitter_support,recall_platform_polices,recall_complaint,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pih_5,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4,uc_pia_5
g100,6,CBCC_M=4,0,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,6,CBCC_M=8,0,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,6,CBCC_M=2,1,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,6,CBCC_M=4,1,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,6,CBCC_M=8,1,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,6,CBCC_M=2,2,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,6,CBCC_M=4,2,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,6,CBCC_M=8,2,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,6,CBCC_M=2,3,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,6,CBCC_M=4,3,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,6,CBCC_M=8,3,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,6,CBCC_M=2,4,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,6,CBCC_M=4,4,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,6,CBCC_M=8,4,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,9,CBCC_M=2,0,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,9,CBCC_M=4,0,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,9,CBCC_M=8,0,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,9,CBCC_M=2,1,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,9,CBCC_M=4,1,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,9,CBCC_M=8,1,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,9,CBCC_M=2,2,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,9,CBCC_M=4,2,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,9,CBCC_M=8,2,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,9,CBCC_M=2,3,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,9,CBCC_M=4,3,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,9,CBCC_M=8,3,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,9,CBCC_M=2,4,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,9,CBCC_M=4,4,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g100,9,CBCC_M=8,4,0.749185667752443,0.9659863945578231,0.8875,0.6666666666666666,0.6,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,CBCC_M=2,0,0.8631921824104235,0.9863945578231292,0.8875,0.3333333333333333,0.12,0.8653846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,CBCC_M=4,0,0.8631921824104235,0.9863945578231292,0.8875,0.3333333333333333,0.12,0.8653846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,CBCC_M=8,0,0.8631921824104235,0.9863945578231292,0.8875,0.3333333333333333,0.12,0.8653846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,CBCC_M=2,1,0.8631921824104235,0.9863945578231292,0.8875,0.3333333333333333,0.12,0.8653846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,CBCC_M=4,1,0.8631921824104235,0.9863945578231292,0.8875,0.3333333333333333,0.12,0.8653846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,CBCC_M=8,1,0.8631921824104235,0.9863945578231292,0.8875,0.3333333333333333,0.12,0.8653846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,CBCC_M=2,2,0.8631921824104235,0.9863945578231292,0.8875,0.3333333333333333,0.12,0.8653846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,CBCC_M=4,2,0.8631921824104235,0.9863945578231292,0.8875,0.3333333333333333,0.12,0.8653846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,CBCC_M=8,2,0.8631921824104235,0.9863945578231292,0.8875,0.3333333333333333,0.12,0.8653846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,CBCC_M=2,3,0.8631921824104235,0.9863945578231292,0.8875,0.3333333333333333,0.12,0.8653846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,CBCC_M=4,3,0.8631921824104235,0.9863945578231292,0.8875,0.3333333333333333,0.12,0.8653846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,CBCC_M=8,3,0.8631921824104235,0.9863945578231292,0.8875,0.3333333333333333,0.12,0.8653846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,CBCC_M=2,4,0.8631921824104235,0.9863945578231292,0.8875,0.3333333333333333,0.12,0.8653846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,CBCC_M=4,4,0.8631921824104235,0.9863945578231292,0.8875,0.3333333333333333,0.12,0.8653846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,0,CBCC_M=8,4,0.8631921824104235,0.9863945578231292,0.8875,0.3333333333333333,0.12,0.8653846153846154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,CBCC_M=2,0,0.7882736156351792,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.40384615384615385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,CBCC_M=4,0,0.7882736156351792,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.40384615384615385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,CBCC_M=8,0,0.7882736156351792,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.40384615384615385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,CBCC_M=2,1,0.7882736156351792,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.40384615384615385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,CBCC_M=4,1,0.7882736156351792,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.40384615384615385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,CBCC_M=8,1,0.7882736156351792,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.40384615384615385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,CBCC_M=2,2,0.7882736156351792,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.40384615384615385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,CBCC_M=4,2,0.7882736156351792,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.40384615384615385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,CBCC_M=8,2,0.7882736156351792,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.40384615384615385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,CBCC_M=2,3,0.7882736156351792,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.40384615384615385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,CBCC_M=4,3,0.7882736156351792,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.40384615384615385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,CBCC_M=8,3,0.7882736156351792,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.40384615384615385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,CBCC_M=2,4,0.7882736156351792,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.40384615384615385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
l250,3,CBCC_M=4,4,0.7882736156351792,0.9251700680272109,0.9875,0.3333333333333333,0.2,0.40384615384615385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
