dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
dog,homo,BDS(iter_sampling=2000),-sigma,5,6,0,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=3000),-sigma,5,6,0,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=1000),-sigma,5,6,0,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=2000),-sigma,5,6,0,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=3000),-sigma,5,6,0,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,-sigma,5,6,1,-1,0.8698884758364313,0.6569767441860465,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,-sigma,5,6,1,-1,0.8327137546468402,0.5872093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,-sigma,5,6,1,-1,0.8203221809169765,0.5174418604651163,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,HSDS_EM,-sigma,5,6,1,-1,0.8748451053283767,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),-sigma,5,6,1,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=2000),-sigma,5,6,1,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=3000),-sigma,5,6,1,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=1000),-sigma,5,6,1,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=2000),-sigma,5,6,1,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=3000),-sigma,5,6,1,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,-sigma,5,6,2,-1,0.8698884758364313,0.6569767441860465,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,-sigma,5,6,2,-1,0.8327137546468402,0.5872093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,-sigma,5,6,2,-1,0.8203221809169765,0.5174418604651163,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,HSDS_EM,-sigma,5,6,2,-1,0.8748451053283767,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),-sigma,5,6,2,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=2000),-sigma,5,6,2,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=3000),-sigma,5,6,2,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=1000),-sigma,5,6,2,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=2000),-sigma,5,6,2,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=3000),-sigma,5,6,2,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,-sigma,5,6,3,-1,0.8698884758364313,0.6569767441860465,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,-sigma,5,6,3,-1,0.8327137546468402,0.5872093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,OneCoinDS,-sigma,5,6,3,-1,0.8203221809169765,0.5174418604651163,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,HSDS_EM,-sigma,5,6,3,-1,0.8748451053283767,0.8372093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,BDS(iter_sampling=1000),-sigma,5,6,3,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=2000),-sigma,5,6,3,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,BDS(iter_sampling=3000),-sigma,5,6,3,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=1000),-sigma,5,6,3,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=2000),-sigma,5,6,3,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,HSDS_MCMC(iter_sampling=3000),-sigma,5,6,3,1,0.8760842627013631,0.8430232558139535,0,0,0,0,0,0,0,0,0
dog,homo,EMDS,-sigma,5,6,4,-1,0.8698884758364313,0.6569767441860465,-1,-1,-1,-1,-1,-1,-1,-1,-1
dog,homo,GLAD,-sigma,5,6,4,-1,0.8327137546468402,0.5872093023255814,-1,-1,-1,-1,-1,-1,-1,-1,-1
