dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,homo,EMDS,-sigma,5,4,4,-1,0.8435923309788093,0.32786885245901637,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,-sigma,5,4,4,-1,0.8869828456104945,0.6229508196721312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,-sigma,5,4,4,-1,0.8859737638748738,0.45901639344262296,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,HSDS_EM,-sigma,5,4,4,-1,0.8324924318869829,0.7213114754098361,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),-sigma,5,4,4,1,0.9071644803229062,0.7377049180327869,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=2000),-sigma,5,4,4,1,0.9071644803229062,0.7377049180327869,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=3000),-sigma,5,4,4,1,0.9081735620585267,0.7377049180327869,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=1000),-sigma,5,4,4,1,0.9071644803229062,0.7377049180327869,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=2000),-sigma,5,4,4,1,0.9071644803229062,0.7377049180327869,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=3000),-sigma,5,4,4,1,0.9091826437941474,0.7377049180327869,0,0,0,0,0,0,0,0,0,0,0
adult,homo,EMDS,-sigma,5,8,0,-1,0.8839556004036327,0.08196721311475409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,-sigma,5,8,0,-1,0.9233097880928355,0.29508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,-sigma,5,8,0,-1,0.9212916246215943,0.06557377049180328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,HSDS_EM,-sigma,5,8,0,-1,0.8657921291624622,0.7540983606557377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),-sigma,5,8,0,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=2000),-sigma,5,8,0,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=3000),-sigma,5,8,0,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=1000),-sigma,5,8,0,1,0.9717457114026236,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=2000),-sigma,5,8,0,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=3000),-sigma,5,8,0,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,EMDS,-sigma,5,8,1,-1,0.8839556004036327,0.08196721311475409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,-sigma,5,8,1,-1,0.9233097880928355,0.29508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,-sigma,5,8,1,-1,0.9212916246215943,0.06557377049180328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,HSDS_EM,-sigma,5,8,1,-1,0.8657921291624622,0.7540983606557377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),-sigma,5,8,1,1,0.9737638748738647,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=2000),-sigma,5,8,1,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=3000),-sigma,5,8,1,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=1000),-sigma,5,8,1,1,0.9737638748738647,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=2000),-sigma,5,8,1,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=3000),-sigma,5,8,1,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,EMDS,-sigma,5,8,2,-1,0.8839556004036327,0.08196721311475409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,-sigma,5,8,2,-1,0.9233097880928355,0.29508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,-sigma,5,8,2,-1,0.9212916246215943,0.06557377049180328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,HSDS_EM,-sigma,5,8,2,-1,0.8657921291624622,0.7540983606557377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),-sigma,5,8,2,1,0.9737638748738647,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=2000),-sigma,5,8,2,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=3000),-sigma,5,8,2,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=1000),-sigma,5,8,2,1,0.9737638748738647,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=2000),-sigma,5,8,2,1,0.9737638748738647,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=3000),-sigma,5,8,2,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,EMDS,-sigma,5,8,3,-1,0.8839556004036327,0.08196721311475409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,-sigma,5,8,3,-1,0.9233097880928355,0.29508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,-sigma,5,8,3,-1,0.9212916246215943,0.06557377049180328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,HSDS_EM,-sigma,5,8,3,-1,0.8657921291624622,0.7540983606557377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),-sigma,5,8,3,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=2000),-sigma,5,8,3,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=3000),-sigma,5,8,3,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=1000),-sigma,5,8,3,1,0.9737638748738647,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=2000),-sigma,5,8,3,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=3000),-sigma,5,8,3,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,EMDS,-sigma,5,8,4,-1,0.8839556004036327,0.08196721311475409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,-sigma,5,8,4,-1,0.9233097880928355,0.29508196721311475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,-sigma,5,8,4,-1,0.9212916246215943,0.06557377049180328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,HSDS_EM,-sigma,5,8,4,-1,0.8657921291624622,0.7540983606557377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),-sigma,5,8,4,1,0.9737638748738647,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=2000),-sigma,5,8,4,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=3000),-sigma,5,8,4,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=1000),-sigma,5,8,4,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=2000),-sigma,5,8,4,1,0.9727547931382442,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=3000),-sigma,5,8,4,1,0.9737638748738647,0.9344262295081968,0,0,0,0,0,0,0,0,0,0,0
adult,homo,EMDS,-sigma,5,12,0,-1,0.8960645812310797,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,-sigma,5,12,0,-1,0.9334006054490414,0.13114754098360656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,-sigma,5,12,0,-1,0.929364278506559,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,HSDS_EM,-sigma,5,12,0,-1,0.8809283551967709,0.7540983606557377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),-sigma,5,12,0,1,0.9858728557013118,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=2000),-sigma,5,12,0,1,0.9848637739656912,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
