dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,homo,HSDS_MCMC(iter_sampling=1000),max,5,4,3,1,0.9939455095862765,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=2000),max,5,4,3,1,0.9939455095862765,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=3000),max,5,4,3,1,0.9939455095862765,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,homo,EMDS,max,5,4,4,-1,0.893037336024218,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,max,5,4,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,max,5,4,4,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,HSDS_EM,max,5,4,4,-1,0.8799192734611504,0.819672131147541,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),max,5,4,4,1,0.9939455095862765,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=2000),max,5,4,4,1,0.9939455095862765,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=3000),max,5,4,4,1,0.9939455095862765,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=1000),max,5,4,4,1,0.9939455095862765,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=2000),max,5,4,4,1,0.9939455095862765,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=3000),max,5,4,4,1,0.9939455095862765,0.9016393442622951,0,0,0,0,0,0,0,0,0,0,0
adult,homo,EMDS,max,5,8,0,-1,0.9354187689202825,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,max,5,8,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,max,5,8,0,-1,0.9384460141271443,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,HSDS_EM,max,5,8,0,-1,0.9081735620585267,0.8360655737704918,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),max,5,8,0,0,0.9384460141271443,0.0,2,4,44,0,0,0,40,8,0,0,0
adult,homo,BDS(iter_sampling=2000),max,5,8,0,1,0.9384460141271443,0.0,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=3000),max,5,8,0,0,0.9384460141271443,0.0,5,55,199,1074,1118,1214,40,8,40,40,16
