dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,recall,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,homo,BDS(iter_sampling=2000),-sigma,3,4,3,1,0.9122098890010091,0.639344262295082,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=3000),-sigma,3,4,3,1,0.9122098890010091,0.639344262295082,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=1000),-sigma,3,4,3,1,0.9122098890010091,0.639344262295082,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=2000),-sigma,3,4,3,1,0.9122098890010091,0.639344262295082,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=3000),-sigma,3,4,3,1,0.9122098890010091,0.639344262295082,0,0,0,0,0,0,0,0,0,0,0
adult,homo,EMDS,-sigma,3,4,4,-1,0.8234106962663976,0.16393442622950818,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,-sigma,3,4,4,-1,0.8849646821392533,0.4098360655737705,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,-sigma,3,4,4,-1,0.8940464177598385,0.36065573770491804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,HSDS_EM,-sigma,3,4,4,-1,0.8597376387487387,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),-sigma,3,4,4,1,0.9132189707366297,0.639344262295082,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=2000),-sigma,3,4,4,1,0.9122098890010091,0.639344262295082,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=3000),-sigma,3,4,4,1,0.9132189707366297,0.6557377049180327,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=1000),-sigma,3,4,4,1,0.9132189707366297,0.639344262295082,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=2000),-sigma,3,4,4,1,0.9122098890010091,0.639344262295082,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=3000),-sigma,3,4,4,1,0.9122098890010091,0.639344262295082,0,0,0,0,0,0,0,0,0,0,0
adult,homo,EMDS,-sigma,3,8,0,-1,0.8768920282542886,0.06557377049180328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,-sigma,3,8,0,-1,0.9273461150353178,0.14754098360655737,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,-sigma,3,8,0,-1,0.9354187689202825,0.04918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,HSDS_EM,-sigma,3,8,0,-1,0.893037336024218,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),-sigma,3,8,0,0,0.9677093844601413,0.6885245901639344,2,2,8,0,0,0,26,8,0,0,0
adult,homo,BDS(iter_sampling=2000),-sigma,3,8,0,1,0.9717457114026236,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=3000),-sigma,3,8,0,1,0.9717457114026236,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=1000),-sigma,3,8,0,1,0.9717457114026236,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=2000),-sigma,3,8,0,1,0.9717457114026236,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=3000),-sigma,3,8,0,1,0.9727547931382442,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
adult,homo,EMDS,-sigma,3,8,1,-1,0.8768920282542886,0.06557377049180328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,-sigma,3,8,1,-1,0.9273461150353178,0.14754098360655737,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,-sigma,3,8,1,-1,0.9354187689202825,0.04918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,HSDS_EM,-sigma,3,8,1,-1,0.893037336024218,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),-sigma,3,8,1,1,0.9717457114026236,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=2000),-sigma,3,8,1,0,0.9697275479313825,0.7540983606557377,2,0,0,0,0,0,16,0,0,0,0
adult,homo,BDS(iter_sampling=3000),-sigma,3,8,1,1,0.9717457114026236,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=1000),-sigma,3,8,1,1,0.970736629667003,0.7704918032786885,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=2000),-sigma,3,8,1,1,0.9717457114026236,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=3000),-sigma,3,8,1,1,0.9717457114026236,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
adult,homo,EMDS,-sigma,3,8,2,-1,0.8768920282542886,0.06557377049180328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,GLAD,-sigma,3,8,2,-1,0.9273461150353178,0.14754098360655737,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,OneCoinDS,-sigma,3,8,2,-1,0.9354187689202825,0.04918032786885246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,HSDS_EM,-sigma,3,8,2,-1,0.893037336024218,0.5573770491803278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,homo,BDS(iter_sampling=1000),-sigma,3,8,2,1,0.9697275479313825,0.7540983606557377,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=2000),-sigma,3,8,2,1,0.9717457114026236,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
adult,homo,BDS(iter_sampling=3000),-sigma,3,8,2,1,0.9717457114026236,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=1000),-sigma,3,8,2,1,0.9717457114026236,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=2000),-sigma,3,8,2,1,0.970736629667003,0.7704918032786885,0,0,0,0,0,0,0,0,0,0,0
adult,homo,HSDS_MCMC(iter_sampling=3000),-sigma,3,8,2,1,0.9727547931382442,0.7868852459016393,0,0,0,0,0,0,0,0,0,0,0
